item_id,score,response_chars,empty_content,disposition,finish_reason
111,1.0,826,0,correct,stop
112,1.0,450,0,correct,stop
113,1.0,219,0,correct,stop
114,1.0,609,0,correct,stop
115,0.0,677,0,wrong,stop
116,1.0,524,0,correct,stop
117,1.0,213,0,correct,stop
118,1.0,593,0,correct,stop
119,0.0,0,1,budget,length
120,1.0,389,0,correct,stop
121,1.0,404,0,correct,stop
122,0.0,553,0,wrong,stop
123,1.0,186,0,correct,stop
124,1.0,542,0,correct,stop
125,1.0,550,0,correct,stop
126,1.0,262,0,correct,stop
127,1.0,278,0,correct,stop
128,1.0,504,0,correct,stop
129,1.0,420,0,correct,stop
130,1.0,277,0,correct,stop
131,1.0,199,0,correct,stop
132,1.0,489,0,correct,stop
133,1.0,245,0,correct,stop
134,1.0,289,0,correct,stop
135,1.0,335,0,correct,stop
136,1.0,204,0,correct,stop
137,0.0,500,0,wrong,stop
138,1.0,471,0,correct,stop
139,1.0,446,0,correct,stop
140,1.0,422,0,correct,stop
141,1.0,627,0,correct,stop
142,1.0,313,0,correct,stop
143,1.0,516,0,correct,stop
144,1.0,450,0,correct,stop
145,1.0,603,0,correct,stop
146,1.0,385,0,correct,stop
147,1.0,645,0,correct,stop
148,1.0,387,0,correct,stop
149,1.0,299,0,correct,stop
150,1.0,661,0,correct,stop
151,1.0,477,0,correct,stop
152,1.0,397,0,correct,stop
153,1.0,921,0,correct,stop
154,1.0,486,0,correct,stop
155,1.0,329,0,correct,stop
156,1.0,334,0,correct,stop
157,1.0,593,0,correct,stop
158,1.0,204,0,correct,stop
159,0.0,713,0,wrong,stop
160,1.0,254,0,correct,stop
161,1.0,379,0,correct,stop
162,1.0,489,0,correct,stop
163,0.0,592,0,wrong,stop
164,1.0,688,0,correct,stop
165,1.0,550,0,correct,stop
166,1.0,342,0,correct,stop
167,1.0,695,0,correct,stop
168,1.0,240,0,correct,stop
169,1.0,525,0,correct,stop
170,1.0,443,0,correct,stop
171,1.0,350,0,correct,stop
172,1.0,687,0,correct,stop
173,0.0,452,0,wrong,stop
174,1.0,357,0,correct,stop
175,1.0,510,0,correct,stop
176,1.0,235,0,correct,stop
177,0.0,582,0,wrong,stop
178,1.0,286,0,correct,stop
179,1.0,363,0,correct,stop
180,1.0,352,0,correct,stop
181,1.0,648,0,correct,stop
182,0.0,559,0,wrong,stop
183,1.0,768,0,correct,stop
184,1.0,626,0,correct,stop
185,1.0,144,0,correct,stop
186,1.0,836,0,correct,stop
187,1.0,468,0,correct,stop
188,1.0,566,0,correct,stop
189,1.0,416,0,correct,stop
190,1.0,303,0,correct,stop
191,1.0,281,0,correct,stop
192,1.0,404,0,correct,stop
193,1.0,528,0,correct,stop
194,1.0,262,0,correct,stop
195,1.0,241,0,correct,stop
196,1.0,233,0,correct,stop
197,1.0,288,0,correct,stop
198,1.0,526,0,correct,stop
199,1.0,651,0,correct,stop
200,1.0,292,0,correct,stop
201,0.0,460,0,wrong,stop
202,1.0,403,0,correct,stop
203,1.0,435,0,correct,stop
204,1.0,402,0,correct,stop
205,1.0,837,0,correct,stop
206,1.0,453,0,correct,stop
207,1.0,574,0,correct,stop
208,1.0,322,0,correct,stop
209,0.0,541,0,wrong,stop
210,1.0,503,0,correct,stop
211,1.0,725,0,correct,stop
212,1.0,502,0,correct,stop
213,1.0,382,0,correct,stop
214,1.0,942,0,correct,stop
215,1.0,280,0,correct,stop
216,1.0,489,0,correct,stop
217,1.0,268,0,correct,stop
218,1.0,461,0,correct,stop
219,1.0,465,0,correct,stop
220,1.0,314,0,correct,stop
221,1.0,339,0,correct,stop
222,1.0,233,0,correct,stop
223,1.0,334,0,correct,stop
224,1.0,125,0,correct,stop
225,1.0,260,0,correct,stop
226,1.0,466,0,correct,stop
227,0.0,370,0,wrong,stop
228,1.0,422,0,correct,stop
229,1.0,508,0,correct,stop
230,1.0,477,0,correct,stop
231,1.0,239,0,correct,stop
232,1.0,241,0,correct,stop
233,1.0,327,0,correct,stop
234,0.0,496,0,wrong,stop
235,1.0,474,0,correct,stop
236,1.0,770,0,correct,stop
237,1.0,194,0,correct,stop
238,1.0,380,0,correct,stop
239,1.0,499,0,correct,stop
240,1.0,367,0,correct,stop
241,0.0,521,0,wrong,stop
242,1.0,816,0,correct,stop
243,1.0,415,0,correct,stop
244,1.0,580,0,correct,stop
245,1.0,711,0,correct,stop
246,0.0,424,0,wrong,stop
247,1.0,384,0,correct,stop
248,1.0,340,0,correct,stop
249,1.0,541,0,correct,stop
250,1.0,561,0,correct,stop
251,1.0,138,0,correct,stop
252,1.0,348,0,correct,stop
253,1.0,280,0,correct,stop
254,1.0,329,0,correct,stop
255,0.0,444,0,wrong,stop
256,1.0,543,0,correct,stop
257,1.0,522,0,correct,stop
258,1.0,331,0,correct,stop
259,1.0,546,0,correct,stop
260,1.0,649,0,correct,stop
261,0.0,248,0,wrong,stop
262,1.0,225,0,correct,stop
263,1.0,440,0,correct,stop
264,1.0,370,0,correct,stop
265,0.0,617,0,wrong,stop
266,0.0,596,0,wrong,stop
267,0.0,522,0,wrong,stop
268,1.0,365,0,correct,stop
269,1.0,222,0,correct,stop
270,1.0,411,0,correct,stop
271,1.0,678,0,correct,stop
272,1.0,299,0,correct,stop
273,1.0,615,0,correct,stop
274,1.0,353,0,correct,stop
275,1.0,445,0,correct,stop
276,1.0,615,0,correct,stop
277,1.0,441,0,correct,stop
278,1.0,283,0,correct,stop
279,1.0,617,0,correct,stop
280,1.0,367,0,correct,stop
281,1.0,484,0,correct,stop
282,1.0,476,0,correct,stop
283,1.0,569,0,correct,stop
284,1.0,462,0,correct,stop
285,1.0,181,0,correct,stop
286,1.0,351,0,correct,stop
287,1.0,468,0,correct,stop
288,1.0,489,0,correct,stop
289,1.0,414,0,correct,stop
290,1.0,261,0,correct,stop
291,1.0,453,0,correct,stop
292,1.0,399,0,correct,stop
293,1.0,509,0,correct,stop
294,1.0,485,0,correct,stop
295,1.0,379,0,correct,stop
296,1.0,443,0,correct,stop
297,1.0,416,0,correct,stop
298,1.0,666,0,correct,stop
299,1.0,629,0,correct,stop
300,1.0,244,0,correct,stop
301,1.0,917,0,correct,stop
302,1.0,297,0,correct,stop
303,1.0,724,0,correct,stop
304,0.0,549,0,wrong,stop
305,1.0,219,0,correct,stop
306,0.0,477,0,wrong,stop
307,1.0,682,0,correct,stop
308,1.0,290,0,correct,stop
309,1.0,463,0,correct,stop
310,1.0,591,0,correct,stop
311,1.0,389,0,correct,stop
312,1.0,213,0,correct,stop
313,1.0,632,0,correct,stop
314,1.0,562,0,correct,stop
315,1.0,579,0,correct,stop
316,1.0,615,0,correct,stop
317,1.0,469,0,correct,stop
318,1.0,419,0,correct,stop
319,1.0,622,0,correct,stop
320,1.0,558,0,correct,stop
321,1.0,251,0,correct,stop
322,1.0,438,0,correct,stop
323,0.0,575,0,wrong,stop
324,1.0,453,0,correct,stop
325,1.0,751,0,correct,stop
326,1.0,567,0,correct,stop
327,1.0,420,0,correct,stop
328,1.0,449,0,correct,stop
329,1.0,183,0,correct,stop
330,0.0,535,0,wrong,stop
331,1.0,644,0,correct,stop
332,1.0,239,0,correct,stop
333,1.0,387,0,correct,stop
334,1.0,397,0,correct,stop
335,1.0,436,0,correct,stop
336,0.0,621,0,wrong,stop
337,1.0,364,0,correct,stop
338,1.0,540,0,correct,stop
339,1.0,513,0,correct,stop
340,0.0,531,0,wrong,stop
341,1.0,601,0,correct,stop
342,1.0,384,0,correct,stop
343,1.0,468,0,correct,stop
344,1.0,366,0,correct,stop
345,1.0,344,0,correct,stop
346,1.0,333,0,correct,stop
347,1.0,413,0,correct,stop
348,1.0,386,0,correct,stop
349,1.0,470,0,correct,stop
350,1.0,334,0,correct,stop
351,1.0,273,0,correct,stop
352,1.0,222,0,correct,stop
353,0.0,467,0,wrong,stop
354,1.0,397,0,correct,stop
355,1.0,446,0,correct,stop
356,1.0,366,0,correct,stop
357,1.0,814,0,correct,stop
358,1.0,334,0,correct,stop
359,1.0,737,0,correct,stop
360,1.0,528,0,correct,stop
361,0.0,688,0,wrong,stop
362,1.0,429,0,correct,stop
363,1.0,416,0,correct,stop
364,1.0,258,0,correct,stop
365,1.0,202,0,correct,stop
366,1.0,481,0,correct,stop
367,1.0,521,0,correct,stop
368,0.0,470,0,wrong,stop
369,0.0,374,0,wrong,stop
370,1.0,380,0,correct,stop
371,1.0,435,0,correct,stop
372,1.0,299,0,correct,stop
373,1.0,419,0,correct,stop
374,1.0,294,0,correct,stop
375,1.0,363,0,correct,stop
376,1.0,398,0,correct,stop
377,1.0,409,0,correct,stop
378,1.0,396,0,correct,stop
379,1.0,186,0,correct,stop
380,0.0,437,0,wrong,stop
381,1.0,287,0,correct,stop
382,1.0,341,0,correct,stop
383,0.0,462,0,wrong,stop
384,1.0,505,0,correct,stop
385,1.0,510,0,correct,stop
386,1.0,437,0,correct,stop
387,1.0,104,0,correct,stop
388,1.0,274,0,correct,stop
389,1.0,497,0,correct,stop
390,1.0,325,0,correct,stop
391,1.0,562,0,correct,stop
392,1.0,534,0,correct,stop
393,1.0,399,0,correct,stop
394,1.0,294,0,correct,stop
395,1.0,414,0,correct,stop
396,1.0,344,0,correct,stop
397,1.0,268,0,correct,stop
398,1.0,360,0,correct,stop
399,1.0,338,0,correct,stop
400,1.0,285,0,correct,stop
401,0.0,532,0,wrong,stop
402,1.0,480,0,correct,stop
403,0.0,469,0,wrong,stop
404,1.0,484,0,correct,stop
405,1.0,718,0,correct,stop
406,1.0,724,0,correct,stop
407,1.0,751,0,correct,stop
408,0.0,587,0,wrong,stop
409,0.0,524,0,wrong,stop
410,1.0,417,0,correct,stop
411,0.0,435,0,wrong,stop
412,1.0,230,0,correct,stop
413,1.0,503,0,correct,stop
414,1.0,242,0,correct,stop
415,1.0,584,0,correct,stop
416,1.0,639,0,correct,stop
417,1.0,383,0,correct,stop
418,1.0,674,0,correct,stop
419,1.0,454,0,correct,stop
420,1.0,467,0,correct,stop
421,1.0,524,0,correct,stop
422,0.0,441,0,wrong,stop
423,1.0,618,0,correct,stop
424,1.0,486,0,correct,stop
425,1.0,713,0,correct,stop
426,1.0,435,0,correct,stop
427,1.0,688,0,correct,stop
428,1.0,809,0,correct,stop
429,1.0,388,0,correct,stop
430,1.0,355,0,correct,stop
431,1.0,534,0,correct,stop
432,1.0,410,0,correct,stop
433,1.0,297,0,correct,stop
434,1.0,532,0,correct,stop
435,1.0,269,0,correct,stop
436,1.0,464,0,correct,stop
437,1.0,411,0,correct,stop
438,0.0,591,0,wrong,stop
439,1.0,741,0,correct,stop
440,1.0,607,0,correct,stop
441,1.0,466,0,correct,stop
442,0.0,502,0,wrong,stop
443,1.0,776,0,correct,stop
444,1.0,326,0,correct,stop
445,1.0,511,0,correct,stop
446,1.0,365,0,correct,stop
447,1.0,141,0,correct,stop
448,1.0,587,0,correct,stop
449,1.0,426,0,correct,stop
450,1.0,655,0,correct,stop
451,1.0,559,0,correct,stop
452,1.0,537,0,correct,stop
453,1.0,455,0,correct,stop
454,0.0,147,0,wrong,stop
455,1.0,382,0,correct,stop
456,1.0,475,0,correct,stop
457,1.0,477,0,correct,stop
458,1.0,606,0,correct,stop
459,1.0,466,0,correct,stop
460,1.0,250,0,correct,stop
461,1.0,306,0,correct,stop
462,1.0,135,0,correct,stop
463,1.0,343,0,correct,stop
464,1.0,439,0,correct,stop
465,1.0,475,0,correct,stop
466,1.0,373,0,correct,stop
467,1.0,351,0,correct,stop
468,1.0,438,0,correct,stop
469,1.0,282,0,correct,stop
470,1.0,365,0,correct,stop
471,1.0,438,0,correct,stop
472,1.0,646,0,correct,stop
473,0.0,389,0,wrong,stop
474,1.0,594,0,correct,stop
475,1.0,314,0,correct,stop
476,1.0,246,0,correct,stop
477,1.0,429,0,correct,stop
478,1.0,382,0,correct,stop
479,0.0,498,0,wrong,stop
480,1.0,363,0,correct,stop
481,1.0,203,0,correct,stop
482,1.0,387,0,correct,stop
483,1.0,390,0,correct,stop
484,1.0,267,0,correct,stop
485,1.0,230,0,correct,stop
486,1.0,226,0,correct,stop
487,1.0,454,0,correct,stop
488,1.0,309,0,correct,stop
489,1.0,275,0,correct,stop
490,1.0,359,0,correct,stop
491,1.0,273,0,correct,stop
492,1.0,123,0,correct,stop
493,1.0,468,0,correct,stop
494,1.0,685,0,correct,stop
495,1.0,405,0,correct,stop
496,1.0,204,0,correct,stop
497,1.0,259,0,correct,stop
498,1.0,393,0,correct,stop
499,1.0,592,0,correct,stop
500,1.0,506,0,correct,stop
501,1.0,518,0,correct,stop
502,1.0,380,0,correct,stop
503,1.0,430,0,correct,stop
504,1.0,480,0,correct,stop
505,1.0,723,0,correct,stop
506,1.0,379,0,correct,stop
507,1.0,341,0,correct,stop
508,1.0,441,0,correct,stop
509,1.0,286,0,correct,stop
510,0.0,615,0,wrong,stop
511,1.0,198,0,correct,stop
512,1.0,371,0,correct,stop
513,1.0,359,0,correct,stop
514,1.0,554,0,correct,stop
515,0.0,419,0,wrong,stop
516,1.0,302,0,correct,stop
517,1.0,419,0,correct,stop
518,1.0,573,0,correct,stop
519,1.0,233,0,correct,stop
520,1.0,594,0,correct,stop
521,1.0,477,0,correct,stop
522,1.0,403,0,correct,stop
523,1.0,281,0,correct,stop
524,1.0,411,0,correct,stop
525,1.0,536,0,correct,stop
526,1.0,497,0,correct,stop
527,0.0,530,0,wrong,stop
528,1.0,552,0,correct,stop
529,0.0,604,0,wrong,stop
530,1.0,580,0,correct,stop
531,0.0,417,0,wrong,stop
532,1.0,571,0,correct,stop
533,1.0,376,0,correct,stop
534,1.0,606,0,correct,stop
535,1.0,439,0,correct,stop
536,1.0,243,0,correct,stop
537,0.0,391,0,wrong,stop
538,1.0,199,0,correct,stop
539,0.0,390,0,wrong,stop
540,1.0,472,0,correct,stop
541,1.0,572,0,correct,stop
542,1.0,451,0,correct,stop
543,1.0,376,0,correct,stop
544,1.0,485,0,correct,stop
545,1.0,153,0,correct,stop
546,0.0,500,0,wrong,stop
547,1.0,572,0,correct,stop
548,1.0,190,0,correct,stop
549,1.0,322,0,correct,stop
550,0.0,461,0,wrong,stop
551,1.0,428,0,correct,stop
552,0.0,518,0,wrong,stop
553,1.0,414,0,correct,stop
554,1.0,557,0,correct,stop
555,1.0,230,0,correct,stop
556,1.0,349,0,correct,stop
557,1.0,371,0,correct,stop
558,1.0,189,0,correct,stop
559,1.0,516,0,correct,stop
560,1.0,384,0,correct,stop
561,1.0,357,0,correct,stop
562,1.0,582,0,correct,stop
563,1.0,398,0,correct,stop
564,1.0,415,0,correct,stop
565,1.0,315,0,correct,stop
566,1.0,332,0,correct,stop
567,1.0,453,0,correct,stop
568,1.0,462,0,correct,stop
569,1.0,314,0,correct,stop
570,0.0,652,0,wrong,stop
571,1.0,183,0,correct,stop
572,1.0,686,0,correct,stop
573,1.0,290,0,correct,stop
574,0.0,586,0,wrong,stop
575,1.0,408,0,correct,stop
576,1.0,362,0,correct,stop
577,1.0,453,0,correct,stop
578,1.0,292,0,correct,stop
579,1.0,242,0,correct,stop
580,1.0,689,0,correct,stop
581,1.0,480,0,correct,stop
582,1.0,416,0,correct,stop
583,1.0,355,0,correct,stop
584,0.0,518,0,wrong,stop
585,0.0,447,0,wrong,stop
586,1.0,449,0,correct,stop
587,1.0,684,0,correct,stop
588,1.0,318,0,correct,stop
589,1.0,547,0,correct,stop
590,1.0,439,0,correct,stop
591,1.0,522,0,correct,stop
592,1.0,474,0,correct,stop
593,1.0,626,0,correct,stop
594,1.0,379,0,correct,stop
595,1.0,483,0,correct,stop
596,1.0,339,0,correct,stop
597,1.0,348,0,correct,stop
598,1.0,380,0,correct,stop
599,1.0,274,0,correct,stop
600,1.0,261,0,correct,stop
601,1.0,544,0,correct,stop
602,1.0,268,0,correct,stop
603,0.0,586,0,wrong,stop
604,1.0,387,0,correct,stop
605,1.0,439,0,correct,stop
606,0.0,516,0,wrong,stop
607,1.0,734,0,correct,stop
608,1.0,352,0,correct,stop
609,1.0,427,0,correct,stop
610,0.0,489,0,wrong,stop
611,0.0,805,0,wrong,stop
612,1.0,381,0,correct,stop
613,1.0,302,0,correct,stop
614,1.0,417,0,correct,stop
615,1.0,263,0,correct,stop
616,1.0,271,0,correct,stop
617,1.0,390,0,correct,stop
618,1.0,450,0,correct,stop
619,1.0,442,0,correct,stop
620,0.0,309,0,wrong,stop
621,0.0,499,0,wrong,stop
622,1.0,521,0,correct,stop
623,1.0,194,0,correct,stop
624,1.0,239,0,correct,stop
625,1.0,341,0,correct,stop
626,1.0,507,0,correct,stop
627,1.0,541,0,correct,stop
628,1.0,469,0,correct,stop
629,0.0,576,0,wrong,stop
630,0.0,613,0,wrong,stop
631,1.0,525,0,correct,stop
632,1.0,382,0,correct,stop
633,1.0,334,0,correct,stop
634,1.0,261,0,correct,stop
635,1.0,903,0,correct,stop
636,1.0,489,0,correct,stop
637,1.0,298,0,correct,stop
638,1.0,434,0,correct,stop
639,1.0,400,0,correct,stop
640,1.0,494,0,correct,stop
641,0.0,473,0,wrong,stop
642,1.0,610,0,correct,stop
643,1.0,352,0,correct,stop
644,1.0,332,0,correct,stop
645,0.0,253,0,wrong,stop
646,1.0,444,0,correct,stop
647,1.0,345,0,correct,stop
648,1.0,413,0,correct,stop
649,0.0,406,0,wrong,stop
650,0.0,469,0,wrong,stop
651,1.0,529,0,correct,stop
652,0.0,385,0,wrong,stop
653,0.0,508,0,wrong,stop
654,1.0,363,0,correct,stop
655,1.0,277,0,correct,stop
656,1.0,396,0,correct,stop
657,0.0,611,0,wrong,stop
658,1.0,527,0,correct,stop
659,1.0,390,0,correct,stop
660,1.0,691,0,correct,stop
661,1.0,594,0,correct,stop
662,1.0,312,0,correct,stop
663,1.0,331,0,correct,stop
664,1.0,411,0,correct,stop
665,1.0,370,0,correct,stop
666,1.0,445,0,correct,stop
667,0.0,210,0,wrong,stop
668,1.0,308,0,correct,stop
669,1.0,420,0,correct,stop
670,1.0,362,0,correct,stop
671,1.0,420,0,correct,stop
672,1.0,710,0,correct,stop
673,1.0,441,0,correct,stop
674,0.0,419,0,wrong,stop
675,1.0,595,0,correct,stop
676,1.0,574,0,correct,stop
677,1.0,419,0,correct,stop
678,1.0,271,0,correct,stop
679,1.0,217,0,correct,stop
680,1.0,283,0,correct,stop
681,1.0,650,0,correct,stop
682,1.0,589,0,correct,stop
683,1.0,762,0,correct,stop
684,1.0,328,0,correct,stop
685,1.0,211,0,correct,stop
686,1.0,205,0,correct,stop
687,1.0,703,0,correct,stop
688,1.0,391,0,correct,stop
689,1.0,460,0,correct,stop
690,1.0,654,0,correct,stop
691,1.0,511,0,correct,stop
692,1.0,476,0,correct,stop
693,1.0,555,0,correct,stop
694,1.0,481,0,correct,stop
695,1.0,236,0,correct,stop
696,1.0,627,0,correct,stop
697,1.0,390,0,correct,stop
698,1.0,305,0,correct,stop
699,1.0,276,0,correct,stop
700,1.0,465,0,correct,stop
701,1.0,546,0,correct,stop
702,1.0,455,0,correct,stop
703,1.0,653,0,correct,stop
704,1.0,430,0,correct,stop
705,1.0,292,0,correct,stop
706,1.0,293,0,correct,stop
707,1.0,495,0,correct,stop
708,1.0,313,0,correct,stop
709,1.0,551,0,correct,stop
710,1.0,476,0,correct,stop
711,1.0,699,0,correct,stop
712,1.0,525,0,correct,stop
713,1.0,361,0,correct,stop
714,1.0,340,0,correct,stop
715,1.0,303,0,correct,stop
716,1.0,394,0,correct,stop
717,1.0,284,0,correct,stop
718,1.0,458,0,correct,stop
719,1.0,262,0,correct,stop
720,1.0,249,0,correct,stop
721,1.0,693,0,correct,stop
722,0.0,266,0,wrong,stop
723,1.0,439,0,correct,stop
724,1.0,696,0,correct,stop
725,1.0,380,0,correct,stop
726,1.0,609,0,correct,stop
727,1.0,347,0,correct,stop
728,1.0,450,0,correct,stop
729,0.0,566,0,wrong,stop
730,1.0,368,0,correct,stop
731,1.0,450,0,correct,stop
732,1.0,347,0,correct,stop
733,1.0,247,0,correct,stop
734,0.0,311,0,wrong,stop
735,1.0,428,0,correct,stop
736,1.0,371,0,correct,stop
737,1.0,545,0,correct,stop
738,1.0,444,0,correct,stop
739,1.0,400,0,correct,stop
740,1.0,567,0,correct,stop
741,1.0,262,0,correct,stop
742,1.0,447,0,correct,stop
743,1.0,350,0,correct,stop
744,1.0,400,0,correct,stop
745,0.0,602,0,wrong,stop
746,1.0,253,0,correct,stop
747,1.0,533,0,correct,stop
748,1.0,497,0,correct,stop
749,0.0,358,0,wrong,stop
750,0.0,460,0,wrong,stop
751,1.0,403,0,correct,stop
752,0.0,499,0,wrong,stop
753,1.0,507,0,correct,stop
754,1.0,1085,0,correct,stop
755,1.0,382,0,correct,stop
756,1.0,542,0,correct,stop
757,1.0,394,0,correct,stop
758,1.0,285,0,correct,stop
759,1.0,403,0,correct,stop
760,1.0,382,0,correct,stop
761,1.0,500,0,correct,stop
762,1.0,340,0,correct,stop
763,0.0,666,0,wrong,stop
764,1.0,280,0,correct,stop
765,1.0,305,0,correct,stop
766,1.0,198,0,correct,stop
767,1.0,452,0,correct,stop
768,0.0,363,0,wrong,stop
769,1.0,531,0,correct,stop
770,1.0,429,0,correct,stop
771,1.0,462,0,correct,stop
772,1.0,588,0,correct,stop
773,1.0,534,0,correct,stop
774,1.0,594,0,correct,stop
775,1.0,345,0,correct,stop
776,1.0,287,0,correct,stop
777,0.0,898,0,wrong,stop
778,1.0,262,0,correct,stop
779,1.0,701,0,correct,stop
780,1.0,710,0,correct,stop
781,1.0,233,0,correct,stop
782,0.0,367,0,wrong,stop
783,1.0,739,0,correct,stop
784,1.0,529,0,correct,stop
785,1.0,464,0,correct,stop
786,1.0,480,0,correct,stop
787,1.0,283,0,correct,stop
788,1.0,404,0,correct,stop
789,1.0,676,0,correct,stop
790,1.0,499,0,correct,stop
791,1.0,202,0,correct,stop
792,1.0,265,0,correct,stop
793,1.0,243,0,correct,stop
794,1.0,368,0,correct,stop
795,1.0,373,0,correct,stop
796,1.0,759,0,correct,stop
797,1.0,288,0,correct,stop
798,0.0,475,0,wrong,stop
799,1.0,113,0,correct,stop
800,1.0,224,0,correct,stop
801,1.0,559,0,correct,stop
802,1.0,690,0,correct,stop
803,1.0,529,0,correct,stop
804,1.0,465,0,correct,stop
805,0.0,327,0,wrong,stop
806,1.0,579,0,correct,stop
807,1.0,446,0,correct,stop
808,1.0,479,0,correct,stop
809,1.0,401,0,correct,stop
810,1.0,726,0,correct,stop
811,1.0,318,0,correct,stop
812,1.0,663,0,correct,stop
813,1.0,631,0,correct,stop
814,0.0,654,0,wrong,stop
815,0.0,0,1,budget,length
816,1.0,171,0,correct,stop
817,1.0,234,0,correct,stop
818,0.0,493,0,wrong,stop
819,1.0,413,0,correct,stop
820,1.0,380,0,correct,stop
821,1.0,498,0,correct,stop
822,1.0,339,0,correct,stop
823,0.0,441,0,wrong,stop
824,1.0,368,0,correct,stop
825,1.0,559,0,correct,stop
826,1.0,368,0,correct,stop
827,0.0,613,0,wrong,stop
828,1.0,352,0,correct,stop
829,1.0,539,0,correct,stop
830,0.0,472,0,wrong,stop
831,0.0,592,0,wrong,stop
832,1.0,309,0,correct,stop
833,1.0,486,0,correct,stop
834,1.0,499,0,correct,stop
835,0.0,900,0,wrong,stop
836,1.0,406,0,correct,stop
837,1.0,752,0,correct,stop
838,1.0,316,0,correct,stop
839,1.0,402,0,correct,stop
840,1.0,366,0,correct,stop
841,1.0,509,0,correct,stop
842,1.0,140,0,correct,stop
843,1.0,209,0,correct,stop
844,1.0,816,0,correct,stop
845,1.0,326,0,correct,stop
846,1.0,496,0,correct,stop
847,1.0,381,0,correct,stop
848,0.0,386,0,wrong,stop
849,1.0,401,0,correct,stop
850,1.0,456,0,correct,stop
851,0.0,328,0,wrong,stop
852,0.0,478,0,wrong,stop
853,1.0,297,0,correct,stop
854,1.0,495,0,correct,stop
855,1.0,630,0,correct,stop
856,1.0,775,0,correct,stop
857,1.0,525,0,correct,stop
858,1.0,715,0,correct,stop
859,1.0,460,0,correct,stop
860,1.0,287,0,correct,stop
861,1.0,653,0,correct,stop
862,0.0,440,0,wrong,stop
863,1.0,281,0,correct,stop
864,1.0,308,0,correct,stop
