model,concurrency,num_prompts,completed,duration_s,out_tok_s,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,source
ornith-35b,8,32,32.0,55.27,148.22,720.39,690.94,1000.63,51.31,results/ornith-35b/raw/throughput_sweep/sweep.log
ornith-35b,16,48,48.0,59.03,208.17,1036.88,987.17,1918.73,72.95,results/ornith-35b/raw/throughput_sweep/sweep.log
ornith-35b,24,72,72.0,75.44,244.34,1231.38,1076.05,2904.39,93.51,results/ornith-35b/raw/throughput_sweep/sweep.log
ornith-35b,32,96,96.0,92.16,266.68,1447.42,1114.56,3861.45,114.34,results/ornith-35b/raw/throughput_sweep/sweep.log
ornith-35b,48,144,144.0,116.02,317.74,1856.58,1208.71,5945.86,143.56,results/ornith-35b/raw/throughput_sweep/sweep.log
ornith-35b,64,192,192.0,136.9,359.03,2265.71,1282.85,8194.64,168.84,results/ornith-35b/raw/throughput_sweep/sweep.log
ornith-35b,96,288,288.0,176.32,418.15,3095.32,1418.68,12783.36,216.13,results/ornith-35b/raw/throughput_sweep/sweep.log
ornith-35b,128,384,384.0,211.69,464.38,3985.96,1550.52,17821.75,257.69,results/ornith-35b/raw/throughput_sweep/sweep.log
qwen3.5-122b-a10b,1,32,32.0,304.07,26.94,355.74,352.37,376.03,35.87,results/qwen3.5-122b-a10b/raw/throughput_sweep/sweep.log
qwen3.5-122b-a10b,2,32,32.0,185.48,44.17,574.01,576.93,597.42,43.21,results/qwen3.5-122b-a10b/raw/throughput_sweep/sweep.log
qwen3.5-122b-a10b,4,32,32.0,130.13,62.95,1031.44,1034.02,1168.9,59.73,results/qwen3.5-122b-a10b/raw/throughput_sweep/sweep.log
qwen3.5-122b-a10b,8,32,32.0,100.56,81.46,2695.41,2118.97,5289.27,87.97,results/qwen3.5-122b-a10b/raw/throughput_sweep/sweep.log
qwen3.5-122b-a10b,16,48,48.0,112.3,109.42,3388.39,3540.38,3550.83,133.48,results/qwen3.5-122b-a10b/raw/throughput_sweep/sweep.log
qwen3.5-122b-a10b,32,96,96.0,174.19,141.09,6249.11,5727.41,7219.67,203.05,results/qwen3.5-122b-a10b/raw/throughput_sweep/sweep.log
qwen3.5-122b-a10b,48,144,144.0,218.46,168.74,7811.11,8569.71,10735.56,254.64,results/qwen3.5-122b-a10b/raw/throughput_sweep/sweep.log
qwen3.5-122b-a10b,64,192,192.0,263.04,186.86,9193.4,9189.97,14478.41,307.35,results/qwen3.5-122b-a10b/raw/throughput_sweep/sweep.log
qwen3.5-122b-a10b,96,288,288.0,353.25,208.71,11620.35,11014.07,22690.92,415.36,results/qwen3.5-122b-a10b/raw/throughput_sweep/sweep.log
qwen3.5-122b-a10b,128,384,384.0,434.57,226.21,13554.68,11895.08,30637.71,513.63,results/qwen3.5-122b-a10b/raw/throughput_sweep/sweep.log
qwen3.5-122b-a10b,192,384,384.0,431.68,227.73,58250.29,24568.11,167018.25,525.62,results/qwen3.5-122b-a10b/raw/throughput_sweep/sweep.log
qwen3.5-122b-a10b,256,384,384.0,440.35,223.24,107954.78,159714.59,183445.37,536.25,results/qwen3.5-122b-a10b/raw/throughput_sweep/sweep.log
qwen3.6-35b-a3b,1,32,32.0,172.61,47.46,155.28,155.11,169.6,20.54,results/qwen3.6-35b-a3b/raw/throughput_sweep/sweep.log
qwen3.6-35b-a3b,2,32,32.0,109.03,75.14,254.23,242.25,301.41,25.72,results/qwen3.6-35b-a3b/raw/throughput_sweep/sweep.log
qwen3.6-35b-a3b,4,32,32.0,72.99,112.24,390.64,433.78,459.61,34.24,results/qwen3.6-35b-a3b/raw/throughput_sweep/sweep.log
qwen3.6-35b-a3b,8,32,32.0,55.78,146.87,1554.09,735.94,4177.8,48.57,results/qwen3.6-35b-a3b/raw/throughput_sweep/sweep.log
qwen3.6-35b-a3b,16,48,48.0,58.22,211.05,1206.1,1271.42,1291.21,71.37,results/qwen3.6-35b-a3b/raw/throughput_sweep/sweep.log
qwen3.6-35b-a3b,24,72,72.0,75.27,244.87,1967.53,2025.94,2082.09,90.66,results/qwen3.6-35b-a3b/raw/throughput_sweep/sweep.log
qwen3.6-35b-a3b,32,96,96.0,87.78,279.96,2603.43,2660.06,2725.36,104.52,results/qwen3.6-35b-a3b/raw/throughput_sweep/sweep.log
qwen3.6-35b-a3b,48,144,144.0,111.9,329.45,3408.23,3357.7,3996.27,132.83,results/qwen3.6-35b-a3b/raw/throughput_sweep/sweep.log
qwen3.6-35b-a3b,64,192,192.0,132.58,370.74,4524.53,4106.66,5350.34,155.45,results/qwen3.6-35b-a3b/raw/throughput_sweep/sweep.log
qwen3.6-35b-a3b,96,288,288.0,168.73,436.95,6055.06,6531.83,8080.44,196.6,results/qwen3.6-35b-a3b/raw/throughput_sweep/sweep.log
qwen3.6-35b-a3b,128,384,384.0,201.96,486.74,6925.23,7019.36,10960.44,236.51,results/qwen3.6-35b-a3b/raw/throughput_sweep/sweep.log
